Coral_species Opecarcinus_hypostegus Troglocarcinus_corallicola Domecia_acanthophora Acanthemblemaria_spinosa Spirobranchus_polycerus Megabalanus
Agaricia_lamarcki 5 NA NA NA NA NA
Agaricia_lamarcki 2 NA NA NA NA NA
Agaricia_lamarcki 2 NA NA NA NA NA
Agaricia_lamarcki 8 NA NA NA NA NA
Agaricia_lamarcki 1 NA NA NA NA NA
Agaricia_lamarcki NA NA NA NA NA NA
Agaricia_lamarcki 2 NA NA NA NA NA
Agaricia_lamarcki 1 NA NA NA NA NA
Agaricia_lamarcki NA NA NA NA NA NA
Agaricia_lamarcki NA NA NA NA NA NA
Agaricia_lamarcki 1 NA NA NA NA NA
Agaricia_lamarcki NA NA NA NA NA NA
Agaricia_lamarcki 2 NA NA NA NA NA
Agaricia_lamarcki 1 NA NA NA NA NA
Agaricia_lamarcki NA NA NA NA NA NA
Agaricia_lamarcki NA NA NA NA NA NA
Agaricia_lamarcki 1 NA NA NA NA NA
Agaricia_lamarcki 2 NA NA NA NA NA
Agaricia_lamarcki NA NA NA NA NA NA
Agaricia_lamarcki 5 NA NA NA NA NA
Agaricia_lamarcki 2 NA NA NA NA NA
Agaricia_lamarcki 4 NA NA NA NA NA
Agaricia_lamarcki 1 NA NA NA NA NA
Agaricia_lamarcki 2 NA NA NA NA NA
Agaricia_lamarcki 5 NA NA NA NA NA
Agaricia_lamarcki 1 NA NA NA NA NA
Agaricia_lamarcki 4 NA NA NA NA NA
Agaricia_lamarcki NA NA NA NA NA NA
Agaricia_lamarcki NA NA NA NA NA NA
Agaricia_lamarcki NA NA NA NA NA NA
Agaricia_lamarcki 1 NA NA NA NA NA
Agaricia_lamarcki NA NA NA NA NA NA
Agaricia_lamarcki 1 NA NA NA NA NA
Agaricia_lamarcki 2 NA NA NA NA NA
Agaricia_lamarcki 1 NA NA NA NA NA
Agaricia_lamarcki 3 NA NA NA NA NA
Agaricia_lamarcki 2 NA NA NA NA NA
Agaricia_lamarcki 2 NA NA NA NA NA
Agaricia_lamarcki 3 NA NA NA NA NA
Agaricia_lamarcki NA NA NA NA NA NA
Agaricia_lamarcki 1 NA NA NA NA NA
Agaricia_lamarcki 2 NA NA NA NA NA
Agaricia_lamarcki 5 NA NA NA NA NA
Agaricia_lamarcki 1 NA NA NA NA NA
Agaricia_lamarcki NA NA NA NA NA NA
Agaricia_lamarcki NA NA NA NA NA NA
Agaricia_lamarcki 1 NA NA NA NA NA
Agaricia_lamarcki 3 NA NA NA NA NA
Agaricia_lamarcki 4 NA NA NA NA NA
Acropora_palmata NA NA 1 NA NA NA
Acropora_palmata NA NA 1 NA NA NA
Acropora_palmata NA NA 1 NA 1 NA
Acropora_palmata NA NA 1 NA NA NA
Acropora_palmata NA NA 1 NA NA NA
Acropora_palmata NA NA 1 NA 2 NA
Acropora_palmata NA NA 1 NA NA NA
Acropora_palmata NA NA 1 NA 1 NA
Acropora_palmata NA NA 1 NA NA NA
Acropora_palmata NA NA 1 NA NA NA
Acropora_palmata NA NA 3 NA NA NA
Acropora_palmata NA NA 2 NA NA NA
Acropora_palmata NA NA 2 NA 4 NA
Acropora_palmata NA NA 5 NA 5 NA
Acropora_palmata NA NA 3 NA 1 NA
Acropora_palmata NA NA 4 NA NA NA
Acropora_palmata NA NA 4 NA 2 NA
Acropora_palmata NA NA 4 NA 3 NA
Acropora_palmata NA NA 5 NA 1 NA
Acropora_palmata NA NA 6 NA 20 NA
Acropora_palmata NA NA 5 NA 1 NA
Acropora_palmata NA NA 6 NA NA NA
Acropora_palmata NA NA 8 NA NA NA
Acropora_palmata NA NA 9 NA NA NA
Acropora_palmata NA NA 9 NA 2 NA
Acropora_palmata NA NA 9 NA 2 NA
Acropora_palmata NA NA 10 NA 19 NA
Acropora_palmata NA NA 15 NA NA NA
Acropora_palmata NA NA 13 NA 11 NA
Acropora_palmata NA NA 15 NA NA NA
Acropora_palmata NA NA 23 NA NA NA
Acropora_palmata NA NA NA NA NA NA
Acropora_palmata NA NA NA NA NA NA
Acropora_palmata NA NA NA NA NA NA
Acropora_palmata NA NA NA NA NA NA
Millepora_complanata NA NA 1 NA NA NA
Millepora_complanata NA NA 1 NA NA NA
Millepora_complanata NA NA 1 NA NA NA
Millepora_complanata NA NA 1 NA NA NA
Millepora_complanata NA NA 1 NA NA NA
Millepora_complanata NA NA 1 NA NA NA
Millepora_complanata NA NA 1 NA NA NA
Millepora_complanata NA NA 1 NA NA NA
Millepora_complanata NA NA 1 NA NA NA
Millepora_complanata NA NA 1 1 NA 2
Millepora_complanata NA NA 2 NA NA NA
Millepora_complanata NA NA 2 NA NA 1
Millepora_complanata NA NA 2 NA NA NA
Millepora_complanata NA NA 2 1 NA NA
Millepora_complanata NA NA 2 1 NA 3
Millepora_complanata NA NA 3 2 NA 1
Millepora_complanata NA NA 2 3 NA 2
Millepora_complanata NA NA 3 NA NA NA
Millepora_complanata NA NA 5 NA NA 1
Millepora_complanata NA NA NA NA NA 5
Millepora_complanata NA NA NA NA NA NA
Millepora_complanata NA NA NA 3 NA 4
Millepora_complanata NA NA NA NA NA NA
Millepora_complanata NA NA NA NA NA 1
Millepora_complanata NA NA NA NA NA NA
Millepora_complanata NA NA NA NA NA NA
Millepora_complanata NA NA NA NA NA NA
Millepora_complanata NA NA NA NA NA NA
Millepora_complanata NA NA NA NA NA NA
Millepora_complanata NA NA NA NA NA 1
Millepora_complanata NA NA NA NA NA NA
Millepora_complanata NA NA NA 1 NA NA
Millepora_complanata NA NA NA NA NA NA
Millepora_complanata NA NA NA NA NA 2
Millepora_complanata NA NA NA NA NA NA
Millepora_complanata NA NA NA NA NA NA
Millepora_complanata NA NA NA NA NA 1
Millepora_complanata NA NA NA NA NA NA
Millepora_complanata NA NA NA NA NA NA
Millepora_complanata NA NA NA NA NA NA
Millepora_complanata NA NA NA NA NA NA
Millepora_complanata NA NA NA NA NA NA
Millepora_complanata NA NA NA NA NA NA
Millepora_complanata NA NA NA NA NA NA
Millepora_complanata NA NA NA NA NA NA
Millepora_complanata NA NA NA NA NA NA
Millepora_complanata NA NA NA NA NA 4
Millepora_complanata NA NA NA NA NA NA
Millepora_complanata NA NA NA NA NA NA
Millepora_complanata NA NA NA NA NA NA
Millepora_complanata NA NA NA NA NA NA
